Date,Check,Amount,Purchase,Category,FOIA No,Link,Requested Date,First Response,Received Date,Muckrock Link
10/12/2011,15908,25256.23,sprint,routine,P049388,15908.pdf,7/5/16,7/12/16,7/12/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15908-15970-26669/
10/19/2011,15913,8500.0,unlimited web access to public record payable to?,??,P049388,15913.pdf,7/5/16,7/12/16,7/12/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15908-15970-26669/
11/1/2011,15921,23750.0,research electronics international,??,P049388,15921.pdf,7/5/16,7/12/16,7/12/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15908-15970-26669/
11/1/2011,15924,17861.19,verizon wireless,routine,P049388,15924.pdf,7/5/16,7/12/16,7/12/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15908-15970-26669/
11/7/2011,15950,8518.12,car repair,routine,P049388,15950.pdf,7/5/16,7/12/16,7/12/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15908-15970-26669/
11/15/2011,15959,6002.0,lexis nexis,routine,P049388,15959.pdf,7/5/16,7/12/16,7/12/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15908-15970-26669/
11/15/2011,15960,25445.03,sprint phones,routine,P049388,15960.pdf,7/5/16,7/12/16,7/12/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15908-15970-26669/
11/15/2011,15961,17058.97,verizon wireless,routine,P049388,15961.pdf,7/5/16,7/12/16,7/12/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15908-15970-26669/
11/16/2011,15964,7828.0,sandoval custom creations for ?? cameral and ??,???,P049388,15964.pdf,7/5/16,7/12/16,7/12/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15908-15970-26669/
11/16/2011,15970,8500.0,?? web access,???,P049388,15970.pdf,7/5/16,7/12/16,7/12/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15908-15970-26669/
11/16/2011,15971,11392.5,?? web access,???,P049389,15971.pdf,1/5/16,7/18/16,7/18/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
11/23/2011,15980,17240.45,cpd dept of fleet mngmt,routine,P049389,15980.PDF,1/5/16,7/18/16,7/18/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
12/27/2011,16005,14388.0,freight security net,???,P049389,16005.PDF,1/5/16,7/18/16,7/18/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
12/27/2011,16006,7500.0,keyw corporation of hanover,???,P049389,16006.PDF,1/5/16,7/18/16,7/18/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
1/3/2012,16012,8505.5,subscription to ?? web access,???,P049389,16012.PDF,1/5/16,7/18/16,7/18/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
1/11/2012,16027,6160.0,subscription to ?? web access,???,P049389,16027.PDF,1/5/16,7/18/16,7/18/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
1/18/2012,16042,25292.15,sprint,routine,P049389,16042.PDF,1/5/16,7/18/16,7/18/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
1/18/2012,16043,25577.62,sprint,routine,P049389,16043.PDF,1/5/16,7/18/16,7/18/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
1/18/2012,16044,16555.49,verizon wireless,routine,P049389,16044.PDF,1/5/16,7/18/16,7/18/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
1/18/2012,16045,17420.76,verizon wireless,routine,P049389,16045.PDF,1/5/16,7/18/16,7/18/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
1/19/2012,16046,8500.0,?? web access,???,P049389,16046.PDF,1/5/16,7/18/16,7/18/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
1/23/2012,16050,164190.27,enterprise,routine,16-0006,16050.pdf,1/3/16,1/15/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16050-to-16104-23255/
1/26/2012,16056,138866.0,penlink,surveillance,16-0006,16056.pdf,1/3/16,1/15/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16050-to-16104-23255/
2/1/2012,16062,6097.0,lexis nexis,routine,16-0006,16062.pdf,1/3/16,1/15/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16050-to-16104-23255/
2/1/2012,16066,5718.54,car repair,routine,16-0006,16066.pdf,1/3/16,1/15/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16050-to-16104-23255/
2/1/2012,16073,126310.34,enterprise,routine,16-0006,16073.pdf,1/3/16,1/15/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16050-to-16104-23255/
2/7/2012,16083,8240.65,car repair,routine,16-0006,16083.pdf,1/3/16,1/15/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16050-to-16104-23255/
2/10/2012,16090,25684.42,phones,routine,16-0006,16090.pdf,1/3/16,1/15/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16050-to-16104-23255/
2/16/2012,16092,17276.52,phones,routine,16-0006,16092.pdf,1/3/16,1/15/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16050-to-16104-23255/
2/23/2012,16102,8503.5,lexis nexis,routine,16-0006,16102.pdf,1/3/16,1/15/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16050-to-16104-23255/
2/27/2012,16104,71408.31,enterprise,routine,16-0006,16104.pdf,1/3/16,1/15/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16050-to-16104-23255/
3/6/2012,16130,117007.63,enterprise,routine,P049389,16130.PDF,7/5/16,7/18/16,7/18/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15971-16130-26670/
3/6/2012,16131,6262.55,no data,no data,P049297,No data,No data,No data,No data,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16131-16777-26591/
3/9/2012,16144,25553.83,sprint services,routine,P049297,16144.PDF,7/1/16,7/11/16,7/14/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16131-16777-26591/
3/14/2012,16150,8501.5,??????,unlimtd web acceess to??,P049297,16150.PDF,7/1/16,7/11/16,7/14/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16131-16777-26591/
3/14/2012,16151,18244.1,verizon wireless,new phone equipment,P049297,16151.PDF,7/1/16,7/11/16,7/14/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16131-16777-26591/
3/16/2012,16152,6960.0,??????,field acquisition tool,P049297,16152.PDF,7/1/16,7/11/16,7/14/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16131-16777-26591/
3/20/2012,16159,136448.53,enterprise fleet,routine,P049297,16159.PDF,7/1/16,7/11/16,7/14/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16131-16777-26591/
4/2/2012,16172,6374.5,??????,unlimtd web acceess to??,P049297,16172.PDF,7/1/16,7/11/16,7/14/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16131-16777-26591/
4/2/2012,16173,5267.68,us marshalls service/cpd,jeep grand cherokee repo,P049297,16173.PDF,7/1/16,7/11/16,7/14/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16131-16777-26591/
4/4/2012,16191,8400.0,ideoa,training confrence,P049297,16191.PDF,7/1/16,7/11/16,7/14/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16131-16777-26591/
4/17/2012,16230,25591.07,phones,routine,16-0011,16230.pdf,No data,No data,No data,No data
4/17/2012,16233,16729.07,phones,routine,16-0011,16233.pdf,No data,No data,No data,No data
4/18/2012,16244,8504.5,lexis nexis,routine,16-0011,16244.pdf,No data,No data,No data,No data
5/1/2012,16264,129618.09,enterprise,routine,16-0011,16264.pdf,No data,No data,No data,No data
5/10/2012,16297,25975.14,phones,routine,16-0011,16297.pdf,No data,No data,No data,No data
5/10/2012,16300,8975.15,car repair,routine,16-0011,16300.pdf,No data,No data,No data,No data
5/16/2012,16309,8531.25,lexis nexis,routine,16-0011,16309.pdf,No data,No data,No data,No data
5/16/2012,16310,16209.2,phones,routine,16-0011,16310.pdf,No data,No data,No data,No data
6/1/2012,16336,121672.27,enterprise,routine,16-0011,16336.pdf,No data,No data,No data,No data
6/1/2012,16338,10791.0,gps trackers,surveillance,16-0011,16338.pdf,No data,No data,No data,No data
6/13/2012,16351,12123.25,lexis nexis,routine,15-7682,16351.pdf,12/28/2015,1/5/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16351-to-16414-23095/
6/21/2012,16356,8786.5,lexis nexis,routine,15-7682,16356.pdf,12/28/2015,1/5/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16351-to-16414-23095/
6/21/2012,16358,16333.04,phones,routine,15-7682,16359.pdf,12/28/2015,1/5/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16351-to-16414-23095/
7/2/2012,16379,46469.0,phones,routine,15-7682,16379.pdf,12/28/2015,1/5/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16351-to-16414-23095/
7/2/2012,16381,128527.97,enterprise,routine,15-7682,16381.pdf,12/28/2015,1/5/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16351-to-16414-23095/
7/2/2012,16382,18820.0,1000 nik drug test pouches,routine,15-7682,16382.pdf,12/28/2015,1/5/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16351-to-16414-23095/
7/10/2012,16392,11675.0,t-mobile wireless for pen register investigation,surveillance,15-7682,16392.pdf,12/28/2015,1/5/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16351-to-16414-23095/
7/20/2012,16402,619088.0,20 unmarked ocd vehicles,routine,15-7682,16402.pdf,12/28/2015,1/5/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16351-to-16414-23095/
7/20/2012,16403,20000.0,dare & great program funding,routine,15-7682,16403.pdf,12/28/2015,1/5/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16351-to-16414-23095/
7/26/2012,16414,8510.5,lexis nexis,routine,15-7682,16414.pdf,12/28/2015,1/5/16,1/26/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16351-to-16414-23095/
7/26/2012,16417,12670.9,lexis nexis,routine,15-7523,16417.pdf,12/18/15,12/28/15,1/7/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16417-to-16614-23025/
8/2/2012,16432,16507.48,phones,routine,15-7523,16432.pdf,12/18/15,12/28/15,1/7/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16417-to-16614-23025/
8/2/2012,16434,126577.77,enterprise,routine,15-7523,16434.pdf,12/18/15,12/28/15,1/7/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16417-to-16614-23025/
8/3/2012,16437,360605.11,ballistics lab,routine,15-7523,16437.pdf,12/18/15,12/28/15,1/7/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16417-to-16614-23025/
8/3/2012,16438,26544.08,phones,routine,15-7523,16438.pdf,12/18/15,12/28/15,1/7/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16417-to-16614-23025/
8/14/2012,16447,91530.0,"ir cam, pole cams, counter surveillance",surveillance,15-7523,16447.pdf,12/18/15,12/28/15,1/7/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16417-to-16614-23025/
8/17/2012,16450,8511.5,lexis nexis,routine,15-7523,16450.pdf,12/18/15,12/28/15,1/7/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16417-to-16614-23025/
8/17/2012,16452,16936.57,phones,routine,15-7523,16452.pdf,12/18/15,12/28/15,1/7/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16417-to-16614-23025/
8/20/2012,16454,6466.75,lexis nexis,routine,15-7523,16454.pdf,12/18/15,12/28/15,1/7/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16417-to-16614-23025/
8/21/2012,16457,12790.0,k9s,routine,15-7523,16457.pdf,12/18/15,12/28/15,1/7/16,https://www.muckrock.com/foi/chicago-169/1505-checks-16417-to-16614-23025/
8/22/2012,16466,130009.57,enterprise,routine,15-7385,16466.pdf,No data,No data,No data,No data
8/24/2012,16468,26395.36,phones,routine,15-7385,16468.pdf,No data,No data,No data,No data
9/19/2012,16511,8500.0,lexis nexis,routine,15-7385,16511.pdf,No data,No data,No data,No data
10/1/2012,16528,17575.7,phones,routine,15-7385,16528.pdf,No data,No data,No data,No data
10/1/2012,16529,26481.89,phones,routine,15-7385,16529.pdf,No data,No data,No data,No data
10/1/2012,16530,125619.22,enterprise,routine,15-7385,16530.pdf,No data,No data,No data,No data
10/2/2012,16533,6023.1,car repair,routine,15-7385,16533.pdf,No data,No data,No data,No data
10/2/2012,16534,8711.42,car repair,routine,15-7385,16534.pdf,No data,No data,No data,No data
10/3/2012,16535,6409.25,lexis nexis,routine,15-7385,16535.pdf,No data,No data,No data,No data
10/15/2012,16466,26442.49,phones,routine,15-7385,16542.pdf,No data,No data,No data,No data
10/16/2012,16543,15871.88,phones,routine,15-7385,16543.pdf,No data,No data,No data,No data
10/22/2012,16553,6521.75,lexis nexis,routine,15-7385,16553.pdf,No data,No data,No data,No data
11/1/2012,16573,130699.65,enterprise,routine,15-7385,16573.pdf,No data,No data,No data,No data
11/15/2012,16581,8273.1,freight security trackers,surveillance,15-7385,16581.pdf,No data,No data,No data,No data
11/15/2012,16582,27389.0,avid video processing and tower,routine,15-7385,16582.pdf,No data,No data,No data,No data
11/19/2012,16593,8500.0,lexis nexis,routine,15-7385,16593.pdf,No data,No data,No data,No data
11/19/2012,16599,137171.67,pen link,surveillance,15-7385,16599.pdf,No data,No data,No data,No data
11/27/2012,16601,16095.31,phones,routine,15-7385,16601.pdf,No data,No data,No data,No data
12/3/2012,16612,6598.5,lexis nexis,routine,15-7385,16612.pdf,No data,No data,No data,No data
12/3/2012,16614,26445.8,phones,routine,15-7385,16614.pdf,No data,No data,No data,No data
12/3/2012,16615,125524.22,enterprise,routine,15-6955,16615.pdf,11/24/15,12/4/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-16615-to-16687-22537/
12/7/2012,16623,37000.67,penlink bluerayjukebox and one dex processor,surveillance,15-6955,16623.pdf,11/24/15,12/4/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-16615-to-16687-22537/
12/11/2012,16630,26869.76,phones,routine,15-6955,16630.pdf,11/24/15,12/4/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-16615-to-16687-22537/
12/12/2012,16633,9575.59,car repair,routine,15-6955,16633.pdf,11/24/15,12/4/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-16615-to-16687-22537/
12/19/2012,16649,8500.0,lexis nexis,routine,15-6955,16649.pdf,11/24/15,12/4/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-16615-to-16687-22537/
12/26/2012,16653,13182.3,redacted,redacted,15-6955,16653.pdf,11/24/15,12/4/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-16615-to-16687-22537/
1/8/2013,16679,20790.69,phones,routine,15-6955,16679.pdf,11/24/15,12/4/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-16615-to-16687-22537/
1/9/2013,16683,6755.75,lexis nexis,routine,15-6955,16683.pdf,11/24/15,12/4/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-16615-to-16687-22537/
1/9/2013,16684,9977.25,redacted,redacted,15-6955,16684.pdf,11/24/15,12/4/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-16615-to-16687-22537/
1/14/2013,16687,26673.87,phones,routine,15-6955,16687.pdf,11/24/15,12/4/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-16615-to-16687-22537/
1/16/2013,16692,133228.68,enterprise,routine,15-7043,16692.pdf,No data,No data,No data,No data
1/17/2013,16693,8500.0,lexis nexis,routine,15-7068,16693.pdf,11/30/15,12/3/15,1/11/16,https://www.muckrock.com/foi/chicago-169/1505-checks-lexus-nexus-22438/
1/18/2013,16694,8502.75,lexis nexis,routine,15-7068,16694.pdf,11/30/15,12/3/15,1/11/16,https://www.muckrock.com/foi/chicago-169/1505-checks-lexus-nexus-22438/
1/18/2013,16699,16526.96,phones,routine,15-7043,16699.pdf,No data,No data,No data,No data
2/1/2013,16721,10539.0,pole cams,surveillance,15-7043,16721.pdf,No data,No data,No data,No data
2/6/2013,16731,129446.43,enterprise,routine,15-7043,16731.pdf,No data,No data,No data,No data
2/14/2013,16738,509063.0,ballistics lab,routine,15-7043,16738.pdf,No data,No data,No data,No data
2/21/2013,16750,6851.75,lexis nexis,routine,15-7043,16750.pdf,No data,No data,No data,No data
2/21/2013,16751,6825.25,lexis nexis,routine,15-7043,16751.pdf,No data,No data,No data,No data
2/21/2013,16752,8500.0,lexis nexis,routine,15-7068,16752.pdf,11/30/15,12/3/15,1/11/16,https://www.muckrock.com/foi/chicago-169/1505-checks-lexus-nexus-22438/
2/21/2013,16754,26600.8,phones,routine,15-7043,16754.pdf,No data,No data,No data,No data
2/25/2013,16762,14899.2,phones,routine,15-7043,16762.pdf,No data,No data,No data,No data
3/1/2013,16775,12136.98,car repair,routine,15-7043,16775.pdf,No data,No data,No data,No data
3/1/2013,16777,128700.98,enterprise,routine,P049297,No data,No data,No data,No data,No data
3/19/2013,16802,340628.75,boc police department vehicles,routine,P048653,16802.pdf,6/12/16,6/20/16,6/27/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16802-16973-26188/
3/20/2013,16808,8500.0,lexis nexis,routine,15-7068,16808.pdf,11/30/15,12/3/15,1/11/16,https://www.muckrock.com/foi/chicago-169/1505-checks-lexus-nexus-22438/
3/20/2013,16809,130576.09,enterprise,routine,P048653,16809.pdf,6/12/16,6/20/16,6/27/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16802-16973-26188/
3/21/2013,16814,15339.85,phones,routine,P048653,16814.pdf,6/12/16,6/20/16,6/27/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16802-16973-26188/
3/25/2013,16820,6660.5,lexis nexis,routine,P048653,16820.pdf,6/12/16,6/20/16,6/27/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16802-16973-26188/
4/1/2013,16823,9600.0,ideoa training conference,routine,P048653,16823.pdf,6/12/16,6/20/16,6/27/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16802-16973-26188/
4/1/2013,16856,45470.0,pro-tech security sales invoice,??????,P048653,16856.pdf,6/12/16,6/20/16,6/27/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16802-16973-26188/
4/1/2013,16858,29846.03,phones,routine,P048653,16858.pdf,6/12/16,6/20/16,6/27/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16802-16973-26188/
4/17/2013,16881,8500.0,lexis nexis,routine,15-7068,16881.pdf,11/30/15,12/3/15,1/11/16,https://www.muckrock.com/foi/chicago-169/1505-checks-lexus-nexus-22438/
4/17/2013,16882,27289.8,phones,routine,P048653,16882.pdf,6/12/16,6/20/16,6/27/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16802-16973-26188/
4/17/2013,16884,37400.0,electronics services agency invoice,??????,P048653,16884.pdf,6/12/16,6/20/16,6/27/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16802-16973-26188/
4/19/2013,16891,15629.32,phones,routine,15-7045,16891.pdf,11/30/15,12/7/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16891-16969-22476/
5/1/2013,16905,6814.75,lexis nexis,routine,15-7045,16905.pdf,11/30/15,12/7/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16891-16969-22476/
5/1/2013,16906,56100.0,pinhole cams?,surveillance,15-7045,16906.pdf,11/30/15,12/7/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16891-16969-22476/
5/1/2013,16911,130683.83,enterprise,routine,15-7045,16911.pdf,11/30/15,12/7/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16891-16969-22476/
5/3/2013,16926,11902.11,car repair,routine,15-7045,16926.pdf,11/30/15,12/7/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16891-16969-22476/
5/6/2013,16936,96030.0,vision database,?,15-7045,16936.pdf,11/30/15,12/7/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16891-16969-22476/
5/13/2013,16953,23425.0,pinhole cams?,surveillance,15-7045,16953.pdf,11/30/15,12/7/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16891-16969-22476/
5/13/2013,16959,8500.0,lexis nexis,routine,15-7068,16959.pdf,11/30/15,12/3/15,1/11/16,https://www.muckrock.com/foi/chicago-169/1505-checks-lexus-nexus-22438/
5/16/2013,16961,32000.0,1505 audit,routine,15-7045,16961.pdf,11/30/15,12/7/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16891-16969-22476/
5/21/2013,16968,13039.86,phones,routine,15-7045,16968.pdf,11/30/15,12/7/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16891-16969-22476/
5/21/2013,16969,27579.88,phones,routine,15-7045,16969.pdf,11/30/15,12/7/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16891-16969-22476/
5/22/2013,16973,410815.33,enterprise,routine,P048653,16973.pdf,6/12/16,6/20/16,6/27/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16802-16973-26188/
6/4/2013,16982,6650.14,no data,no data,No data,No data,6/6/16,No data,No data,https://www.muckrock.com/foi/chicago-169/request-for-information-checks-16982-17267-26059/
6/4/2013,16986,214600.0,no data,no data,No data,No data,6/6/16,No data,No data,https://www.muckrock.com/foi/chicago-169/request-for-information-checks-16982-17267-26059/
6/4/2013,16989,121361.19,no data,no data,No data,No data,6/6/16,No data,No data,https://www.muckrock.com/foi/chicago-169/request-for-information-checks-16982-17267-26059/
6/10/2013,17006,6652.25,no data,no data,No data,No data,6/6/16,No data,No data,https://www.muckrock.com/foi/chicago-169/request-for-information-checks-16982-17267-26059/
6/19/2013,17015,8500.0,lexis nexis,routine,15-7068,17015.pdf,11/30/15,12/3/15,1/11/16,https://www.muckrock.com/foi/chicago-169/1505-checks-lexus-nexus-22438/
7/1/2013,17020,6446.05,no data,no data,No data,No data,6/6/16,No data,No data,https://www.muckrock.com/foi/chicago-169/request-for-information-checks-16982-17267-26059/
7/1/2013,17027,15487.36,no data,no data,No data,No data,6/6/16,No data,No data,https://www.muckrock.com/foi/chicago-169/request-for-information-checks-16982-17267-26059/
7/1/2013,17029,31368.23,no data,no data,No data,No data,6/6/16,No data,No data,https://www.muckrock.com/foi/chicago-169/request-for-information-checks-16982-17267-26059/
7/15/2013,17044,174174.52,no data,no data,No data,No data,6/6/16,No data,No data,https://www.muckrock.com/foi/chicago-169/request-for-information-checks-16982-17267-26059/
7/17/2013,17046,6752.0,lexis nexis,routine,15-7070,17046.pdf,No data,No data,No data,No data
8/7/2013,17071,7932.09,phones,routine,15-7070,17071.pdf,No data,No data,No data,No data
8/7/2013,17075,10071.6,redacted,surveillance?,15-7070,17075.pdf,No data,No data,No data,No data
8/21/2013,17086,8500.0,lexis nexis,routine,15-7068,17086.pdf,11/30/15,12/3/15,1/11/16,https://www.muckrock.com/foi/chicago-169/1505-checks-lexus-nexus-22438/
8/22/2013,17087,9435.07,phones,routine,15-7070,17087.pdf,No data,No data,No data,No data
9/11/2013,17109,41134.6,enterprise,routine,15-7070,17109.pdf,No data,No data,No data,No data
9/11/2013,17110,14620.23,car repair,routine,15-7070,17110.pdf,No data,No data,No data,No data
9/13/2013,17113,13300.5,lexis nexis,routine,15-7070,17113.pdf,No data,No data,No data,No data
9/19/2013,17119,8500.0,lexis nexis,routine,15-7068,17119.pdf,11/30/15,12/3/15,1/11/16,https://www.muckrock.com/foi/chicago-169/1505-checks-lexus-nexus-22438/
9/24/2013,17123,6750.5,lexis nexis,routine,15-7070,17123.pdf,No data,No data,No data,No data
10/15/2013,17137,17992.0,no data,no data,No data,No data,6/6/16,No data,No data,https://www.muckrock.com/foi/chicago-169/request-for-information-checks-16982-17267-26059/
10/17/2013,17140,8500.0,lexis nexis,routine,15-7068,17140.pdf,11/30/15,12/3/15,1/11/16,https://www.muckrock.com/foi/chicago-169/1505-checks-lexus-nexus-22438/
10/18/2013,17143,8688.6,raid jacket,routine,15-7070,17143.pdf,No data,No data,No data,No data
10/18/2013,17144,6732.5,lexis nexis,routine,15-7069,17144.pdf,11/30/15,12/3/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-cpd-17144-17219-22347/
10/22/2013,17145,23201.16,phones,routine,15-7069,17145.pdf,11/30/15,12/3/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-cpd-17144-17219-22347/
11/1/2013,17151,137171.67,penlink,surveillance,15-7069,17151.pdf,11/30/15,12/3/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-cpd-17144-17219-22347/
11/15/2013,17174,15432.81,phones,routine,15-7069,17174.pdf,11/30/15,12/3/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-cpd-17144-17219-22347/
11/21/2013,17181,8500.0,lexis nexis,routine,15-7069,17181.pdf,11/30/15,12/3/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-cpd-17144-17219-22347/
11/22/2013,17185,31782.3,phones,routine,15-7069,17185.pdf,11/30/15,12/3/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-cpd-17144-17219-22347/
12/2/2013,17189,8500.25,lexis nexis,routine,15-7069,17189.pdf,11/30/15,12/3/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-cpd-17144-17219-22347/
12/5/2013,17200,10964.67,car repair,routine,15-7069,17200.pdf,11/30/15,12/3/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-cpd-17144-17219-22347/
12/10/2013,17208,6819.5,lexis nexis,routine,15-7069,17208.pdf,11/30/15,12/3/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-cpd-17144-17219-22347/
12/24/2013,17219,8500.0,lexis nexis,routine,15-7069,17219.pdf,11/30/15,12/3/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-cpd-17144-17219-22347/
1/3/2014,17222,15040.93,phones,routine,15-7067,17222.pdf,11/30/15,12/3/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-17279-to-17326-22273/
1/9/2014,17232,52974.05,phones,routine,15-7067,17232.pdf,11/30/15,12/3/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-17279-to-17326-22273/
1/10/2014,17233,66052.59,phones,routine,15-7067,17233.pdf,11/30/15,12/3/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-17279-to-17326-22273/
1/13/2014,17236,24488.25,enterprise,routine,15-7067,17236.pdf,11/30/15,12/3/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-17279-to-17326-22273/
1/16/2014,17244,6633.75,lexis nexis,routine,15-7067,17244.pdf,11/30/15,12/3/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-17279-to-17326-22273/
1/16/2014,17247,14662.84,phones,routine,15-7067,17247.pdf,11/30/15,12/3/15,12/22/15,https://www.muckrock.com/foi/chicago-169/1505-checks-17279-to-17326-22273/
